idPOI,namePOI,latitude,longitude
Heritage-ES-Ceuti-1,Pisando fuerte,38.078472,-1.270139
Heritage-ES-Ceuti-2,Alegoria de la Vida,38.078889,-1.271444
Heritage-ES-Ceuti-3,Museo 7 Chimeneas,38.079417,-1.272889
Heritage-ES-Ceuti-4,Museo de Arte Contemporaneo La Conservera,38.079194,-1.269000
Heritage-ES-Ceuti-5,Iglesia Santa Maria Magdalena,38.079056,-1.269528
Heritage-ES-Ceuti-6,Ruinas Arabes de Ceuti,38.078417,-1.27016
Heritage-ES-Ceuti-7,Ermita de San Roque,38.082111,-1.28466
Heritage-ES-Ceuti-8,Mi Jardin Metafisico,38.080722,-1.276806
Heritage-ES-Ceuti-9,Noria del Boticario,38.100167,-1.287722
Heritage-ES-Ceuti-10,Ninos Banandose en La Acequia de Ceuti,38.079389,-1.270056
Heritage-ES-Ceuti-11,El Mural de San Roque,38.079833,-1.273306
Heritage-ES-Ceuti-12,Reina Mariana,38.077806,-1.274861
Heritage-ES-Ceuti-13,La Mujer Conservera,38.077778,-1.274194
Heritage-ES-Ceuti-14,Escultura Miguel de Cervantes,38.077306,-1.271722
Heritage-ES-Ceuti-15,Homenaje al Emigrante,38.079472,-1.271917
Heritage-ES-Ceuti-16,Torso,38.081444,-1.276944
