idPOI;namePOI;authorPOI
Heritage-ES-Ceuti-1;Pisando fuerte;Antonio Campillo
Heritage-ES-Ceuti-2;Alegoria de la Vida;Jose Antonio Torregar
Heritage-ES-Ceuti-3;Museo 7 Chimeneas;
Heritage-ES-Ceuti-4;Museo de Arte Contemporaneo La Conservera;
Heritage-ES-Ceuti-5;Iglesia Santa Maria Magdalena;
Heritage-ES-Ceuti-6;Ruinas Arabes de Ceuti;
Heritage-ES-Ceuti-7;Ermita de San Roque;
Heritage-ES-Ceuti-8;Mi Jardin Metafisico;Ouka Leele
Heritage-ES-Ceuti-9;Noria del Boticario;
Heritage-ES-Ceuti-10;Ninos Banandose en La Acequia de Ceuti;Manolo Belzunce
Heritage-ES-Ceuti-11;El Mural de San Roque;Antonio Maya
Heritage-ES-Ceuti-12;Reina Mariana;Manolo Valdes
Heritage-ES-Ceuti-13;La Mujer Conservera;Salvador Susarte
Heritage-ES-Ceuti-14;Escultura Miguel de Cervantes;Jose Planes
Heritage-ES-Ceuti-15;Homenaje al Emigrante;Mariano Gonzalez Beltran
Heritage-ES-Ceuti-16;Torso;Pedro Chillida
